player,games,wins,winrate,elo,main_position,champion_pool,recent_winrate
FATE (Yoo Su-hyeok),342,135,0.39473684210526316,1311.9591697235696,mid,36,0.2
deokdam,333,169,0.5075075075075075,1506.3593571743932,bot,24,0.4
Morgan,332,122,0.3674698795180723,1418.309822941636,top,40,0.6
DuDu (Lee Dong-ju),326,108,0.3312883435582822,1438.5703657054185,top,38,0.4
Clozer,315,147,0.4666666666666667,1513.437211665512,mid,31,0.6
Ruler,315,214,0.6793650793650794,1760.174313386725,bot,23,0.8
HamBak,313,185,0.5910543130990416,1673.054552958801,jng,27,0.6
Pleata,294,146,0.4965986394557823,1349.4758922087233,bot,35,0.5
Peyz,289,207,0.7162629757785467,1744.4785424033153,bot,24,0.6
Rahel,289,183,0.6332179930795848,1588.7815327226062,bot,21,0.5
Baut,288,128,0.4444444444444444,1526.3399329124672,sup,33,0.6
Sylvie,279,100,0.35842293906810035,1413.6277110283766,jng,28,0.5
Zeka (Kim Geon-woo),276,163,0.5905797101449275,1593.0528659118631,mid,30,0.5
Clid,276,172,0.6231884057971014,1558.7864179331316,jng,30,0.8
UmTi,272,97,0.35661764705882354,1385.512685317513,jng,34,0.4
Rooster,271,137,0.5055350553505535,1537.4369027863743,top,34,0.5
SeTab,263,139,0.5285171102661597,1363.5954665095996,mid,32,0.2
Karis,263,76,0.2889733840304182,1376.0462959158376,mid,31,0.5
DnDn,262,99,0.37786259541984735,1429.5548556643728,top,32,0.5
Ghost (Jang Yong-jun),258,161,0.624031007751938,1434.107815815753,bot,27,0.6
Sponge,252,120,0.47619047619047616,1348.0315211682955,jng,22,0.5
Clear (Song Hyeon-min),252,133,0.5277777777777778,1425.3653699768106,top,34,0.3
BuLLDoG (Lee Tae-young),251,100,0.398406374501992,1438.615733419967,mid,35,0.4
Duro,247,128,0.5182186234817814,1523.981324118358,sup,29,0.7
vital,246,112,0.45528455284552843,1458.3877324053349,bot,25,0.5
Pullbae,245,153,0.6244897959183674,1473.4296855137181,mid,33,0.3
Croco,241,101,0.4190871369294606,1348.685903673464,jng,31,0.4
Jiwoo,236,101,0.4279661016949153,1414.0775368000527,bot,25,0.5
Hype (Byeon Jeong-hyeon),233,153,0.6566523605150214,1685.6183720212257,bot,19,0.7
Lure (Shin Jae-yoon),232,122,0.5258620689655172,1527.0056487410204,bot,20,0.6
Bull,232,93,0.40086206896551724,1451.6641460309966,bot,20,0.3
Thanatos (Park Seung-kyu),227,145,0.6387665198237885,1560.1946278892556,top,21,0.5
Vsta,224,87,0.38839285714285715,1325.9569683623272,sup,35,0.3
Raptor (Jeon Eo-jin),218,89,0.40825688073394495,1426.173770317119,jng,22,0.3
Way (Han Gil),210,132,0.6285714285714286,1717.563740079792,sup,32,0.8
Courage (Jeon Hyun-min),210,80,0.38095238095238093,1452.1011132267877,jng,23,0.4
Smash (Sin Geum-jae),209,93,0.4449760765550239,1356.4028103722937,bot,29,0.1
Dove,207,92,0.4444444444444444,1567.8626438595545,mid,38,0.6
Willer,207,88,0.4251207729468599,1499.5702981781292,jng,28,0.5
Dal,207,93,0.4492753623188406,1399.5446360940075,top,24,0.4
Peter (Jeong Yoon-su),203,72,0.35467980295566504,1413.4376800163188,sup,22,0.6
Dread (Lee Jin-hyeok),202,79,0.3910891089108911,1444.7826641332467,jng,32,0.6
Lava,201,74,0.3681592039800995,1378.0132943104609,mid,33,0.3
Fly (Song Yong-jun),200,97,0.485,1505.828584917212,mid,33,0.6
Mihile,200,110,0.55,1440.274338376655,top,20,0.5
Guwon,197,96,0.4873096446700508,1401.5042642593328,jng,20,0.4
FIESTA (An Hyeon-seo),191,74,0.387434554973822,1398.3039901570435,mid,27,0.5
Diable,190,77,0.4052631578947368,1485.334292400251,bot,17,0.5
Summit,189,82,0.43386243386243384,1469.5861703496773,top,28,0.2
Taeyoon,188,66,0.35106382978723405,1403.478159196503,bot,18,0.2
Feisty,183,91,0.4972677595628415,1564.0288077470252,mid,24,0.6
Pollu,183,58,0.31693989071038253,1428.2133710912262,sup,22,0.6
Loopy,182,96,0.5274725274725275,1584.9393704656713,sup,25,0.5
Forest (Lee Hyeon-seo),180,96,0.5333333333333333,1410.727655462532,jng,28,0.4
Kael (Kim Jin-hong),179,80,0.44692737430167595,1395.8236710599592,sup,26,0.4
Lospa,174,76,0.4367816091954023,1376.8807212600007,sup,25,0.2
Bible,174,115,0.6609195402298851,1558.3309204318143,sup,24,0.5
Grizzly,174,97,0.5574712643678161,1537.339142322226,jng,21,0.5
OnFleek,173,59,0.34104046242774566,1340.2505269908327,jng,21,0.3
Winner (Woo Joo-sung),171,76,0.4444444444444444,1376.9127080133555,jng,22,0.2
HH (Lee Hyun-ho),168,99,0.5892857142857143,1494.3701124299093,sup,19,0.4
Rich (Lee Jae-won),165,80,0.48484848484848486,1500.3559938990925,top,26,0.4
Andil,162,54,0.3333333333333333,1464.56217693439,sup,28,0.4
Roamer,160,76,0.475,1496.408903140677,mid,26,0.4
Sounda,158,94,0.5949367088607594,1506.1725354278426,jng,21,0.4
Casting,154,97,0.6298701298701299,1641.5022560144403,top,19,0.5
Paduck,153,60,0.39215686274509803,1409.1545735190607,bot,23,0.5
Nuguri,153,96,0.6274509803921569,1569.2076020193413,top,30,0.4
